consumo_electrodomesticos,consumo_iluminacion,temperatura_sala,temperatura_exterior,humedad_exterior,temperatura_meteorologica,hora,dia_semana,mes,es_fin_de_semana,rango_termico
60,30,19.2,7.02666666666667,92.0,6.6,17,0,1,0,Medio
60,30,19.2,6.8333333333333295,92.0,6.48333333333333,17,0,1,0,Medio
50,30,19.2,6.56,92.0,6.36666666666667,17,0,1,0,Medio
50,40,19.2,6.43333333333333,92.0,6.25,17,0,1,0,Medio
60,40,19.2,6.36666666666667,92.0,6.133333333333329,17,0,1,0,Medio
50,40,19.2,6.3,92.0,6.01666666666667,17,0,1,0,Medio
60,50,19.2,6.263333333333329,92.0,5.9,18,0,1,0,Medio
60,50,19.2,6.19,91.8333333333333,5.91666666666667,18,0,1,0,Medio
60,40,19.2,6.1233333333333295,91.6666666666667,5.93333333333333,18,0,1,0,Medio
70,40,19.23,6.19,91.5,5.95,18,0,1,0,Medio
230,70,19.3566666666667,6.19,91.3333333333333,5.96666666666667,18,0,1,0,Medio
580,60,19.4266666666667,6.1233333333333295,91.1666666666667,5.98333333333333,18,0,1,0,Medio
430,50,19.566666666666695,6.1233333333333295,91.0,6.0,19,0,1,0,Medio
250,40,19.73,6.0675,90.5,6.0,19,0,1,0,Medio
100,10,19.8566666666667,5.9,90.0,6.0,19,0,1,0,Medio
100,10,20.033333333333296,5.8,89.5,6.0,19,0,1,0,Medio
90,10,20.1666666666667,5.72666666666667,89.0,6.0,19,0,1,0,Medio
70,30,20.2,5.52666666666667,88.5,6.0,19,0,1,0,Medio
80,30,20.2,5.3333333333333295,88.0,6.0,20,0,1,0,Medio
140,40,20.2,5.3333333333333295,87.8333333333333,6.0,20,0,1,0,Medio
120,20,20.2,5.46666666666667,87.6666666666667,6.0,20,0,1,0,Medio
190,40,20.26,5.5,87.5,6.0,20,0,1,0,Medio
110,40,20.29,5.56,87.3333333333333,6.0,20,0,1,0,Medio
110,40,20.3566666666667,5.6233333333333295,87.1666666666667,6.0,20,0,1,0,Medio
