temperatura_sala,consumo_iluminacion,temperatura_exterior,humedad_exterior,temperatura_meteorologica,hora,dia_semana,mes,es_fin_de_semana,rango_termico
19.2,30,7.02666666666667,92.0,6.6,17,0,1,0,1
19.2,30,6.8333333333333295,92.0,6.48333333333333,17,0,1,0,1
19.2,30,6.56,92.0,6.36666666666667,17,0,1,0,1
19.2,40,6.43333333333333,92.0,6.25,17,0,1,0,1
19.2,40,6.36666666666667,92.0,6.133333333333329,17,0,1,0,1
19.2,40,6.3,92.0,6.01666666666667,17,0,1,0,1
19.2,50,6.263333333333329,92.0,5.9,18,0,1,0,1
19.2,50,6.19,91.8333333333333,5.91666666666667,18,0,1,0,1
19.2,40,6.1233333333333295,91.6666666666667,5.93333333333333,18,0,1,0,1
19.23,40,6.19,91.5,5.95,18,0,1,0,1
19.3566666666667,70,6.19,91.3333333333333,5.96666666666667,18,0,1,0,1
19.4266666666667,60,6.1233333333333295,91.1666666666667,5.98333333333333,18,0,1,0,1
19.56666666666669,50,6.1233333333333295,91.0,6.0,19,0,1,0,1
19.73,40,6.0675,90.5,6.0,19,0,1,0,1
19.8566666666667,10,5.9,90.0,6.0,19,0,1,0,1
20.033333333333296,10,5.8,89.5,6.0,19,0,1,0,1
20.1666666666667,10,5.72666666666667,89.0,6.0,19,0,1,0,1
20.2,30,5.52666666666667,88.5,6.0,19,0,1,0,1
20.2,30,5.3333333333333295,88.0,6.0,20,0,1,0,1
20.2,40,5.3333333333333295,87.8333333333333,6.0,20,0,1,0,1
20.2,20,5.46666666666667,87.6666666666667,6.0,20,0,1,0,1
20.26,40,5.5,87.5,6.0,20,0,1,0,1
20.29,40,5.56,87.3333333333333,6.0,20,0,1,0,1
20.3566666666667,40,5.6233333333333295,87.1666666666667,6.0,20,0,1,0,1
20.4266666666667,30,5.763333333333329,87.0,6.0,21,0,1,0,1
20.5,20,5.65666666666667,87.1666666666667,5.93333333333333,21,0,1,0,1
20.533333333333296,30,5.53,87.3333333333333,5.86666666666667,21,0,1,0,2
20.6666666666667,20,5.43333333333333,87.5,5.8,21,0,1,0,2
20.7,20,5.5,87.6666666666667,5.73333333333333,21,0,1,0,2
20.7,20,5.59,87.8333333333333,5.66666666666667,21,0,1,0,2
20.79,20,5.59,88.0,5.6,22,0,1,0,2
20.79,20,5.65666666666667,87.8333333333333,5.65,22,0,1,0,2
20.89,20,5.8333333333333295,87.6666666666667,5.7,22,0,1,0,2
20.963333333333296,30,5.9,87.5,5.75,22,0,1,0,2
21.0,20,6.0,87.3333333333333,5.8,22,0,1,0,1
21.0,20,6.0,87.1666666666667,5.85,22,0,1,0,1
21.0,20,5.96666666666667,87.0,5.9,23,0,1,0,2
21.0,20,5.9,87.8333333333333,5.8,23,0,1,0,2
